datahora, lat, lon, sst_boia, ch14, media14, ch15, media15, sat_zen
201801051100,-33.337,-29.529,19.900,289.627624511719,289.66087171766511111111,287.855499267578,287.84226142035577777777,2.28735303878784
201801051100,-34.305,-36.732,19.900,289.687469482422,289.70076836480044444444,287.438568115234,287.47827826605866666666,2.30232715606689
201801051200,-33.162,-35.542,21.300,291.243591308594,291.23694186740477777777,289.225402832031,289.21878390841988888888,2.28462767601013
201801051200,-33.724,-40.950,20.500,290.465515136719,290.44557020399333333333,288.212860107422,288.21947903103311111111,2.2932550907135
201801051200,-34.320,-36.699,19.900,289.867004394531,289.90691460503455555555,287.617248535156,287.67681206597200000000,2.30278062820435
201801051200,-29.211,-40.785,22.800,292.440612792969,292.42065429687533333333,290.476165771484,290.43646918402733333333,2.2226037979126
201801051300,-33.734,-40.957,20.600,290.405670166016,290.45221625434055555555,288.212860107422,288.22609795464422222222,2.29370903968811
201801051300,-29.232,-40.810,22.900,292.380737304688,292.38740030924511111111,290.416625976562,290.37029690212633333333,2.22306156158447
201801051500,-27.328,-24.790,25.500,290.764770507812,290.78472900390600000000,286.962097167969,287.03488837348111111111,2.19324636459351
201801051500,-33.172,-35.535,21.900,291.842102050781,291.84875149197022222222,289.821014404297,289.84747653537344444444,2.28462767601013
201801051500,-34.320,-36.699,20.600,290.525390625,290.51207817925355555555,288.272430419922,288.27242702908000000000,2.30278062820435
201801051600,-27.328,-24.790,26.000,290.764770507812,290.79802788628466666666,286.902526855469,286.93561808268255555555,2.19324636459351
201801051600,-33.172,-35.535,22.100,291.842102050781,291.79554918077244444444,289.821014404297,289.78130086263033333333,2.28462767601013
201801051600,-34.320,-36.699,20.800,290.645080566406,290.63843112521677777777,288.391540527344,288.42463514539955555555,2.30278062820435
201801051600,-29.232,-40.810,23.200,292.859558105469,292.84625922309055555555,290.893096923828,290.84015231662311111111,2.22306156158447
201801051700,-27.331,-24.791,26.100,290.046569824219,290.19287787543388888888,286.366485595703,286.44589233398433333333,2.19324636459351
201801051700,-33.189,-35.496,22.200,291.722381591797,291.70243665907133333333,289.701873779297,289.70849609375011111111,2.28508186340332
201801051700,-33.734,-40.957,21.000,290.764770507812,290.82462226019966666666,288.629791259766,288.66949801974866666666,2.29370903968811
201801051700,-33.322,-29.539,20.500,289.926879882812,289.91357082790788888888,287.915069580078,287.92168172200511111111,2.28735303878784
201801051700,-34.319,-36.623,21.000,290.9443359375,290.91772800021711111111,288.689361572266,288.66287909613755555555,2.30278062820435
201801051700,-29.232,-40.810,23.200,292.620147705078,292.60684882269955555555,290.654846191406,290.56882731119755555555,2.22306156158447
201801051800,-27.357,-24.782,26.300,289.687469482422,203.80829874674464444444,286.009124755859,202.29969278971344444444,2.19370603561401
201801051800,-33.756,-40.945,21.100,291.004180908203,291.01747979058144444444,288.927581787109,288.95405748155344444444,2.29416275024414
201801051900,-33.756,-40.945,21.000,291.064025878906,291.09727308485211111111,289.046722412109,289.05333455403611111111,2.29416275024414
201801051900,-34.319,-36.623,21.600,291.542846679688,291.53619723849855555555,289.284973144531,289.30481974283833333333,2.30278062820435
201801051900,-29.237,-40.793,23.200,291.961791992188,248.43034871419282222222,289.821014404297,246.99015808105477777777,2.22306156158447
201801052000,-27.359,-24.770,25.700,289.687469482422,289.72736612955711111111,286.009124755859,286.04220920138877777777,2.19370603561401
201801052000,-33.198,-35.483,22.000,291.064025878906,269.47121175130202222222,289.106262207031,267.84306420220244444444,2.28508186340332
201801052000,-33.762,-40.951,21.000,291.183746337891,291.13717990451377777777,289.165832519531,289.12611897786433333333,2.29416275024414
201801052000,-34.319,-36.623,21.400,291.183746337891,291.01083374023433333333,289.165832519531,289.05333116319444444444,2.30278062820435
201801052100,-27.383,-24.747,25.400,289.807159423828,289.82711452907966666666,286.068664550781,286.07529025607611111111,2.19370603561401
201801052100,-33.182,-35.487,22.000,287.592681884766,203.02358669704864444444,286.187805175781,202.65043809678811111111,2.28508186340332
201801052100,-33.765,-40.954,21.000,291.064025878906,291.01083034939222222222,289.046722412109,289.00700547960033333333,2.29416275024414
201801052200,-27.374,-24.731,25.200,289.627624511719,289.68082004123277777777,285.949554443359,285.99588012695277777777,2.19370603561401
201801052200,-33.178,-35.491,21.900,289.986724853516,289.68081325954866666666,287.974609375,287.73637898763011111111,2.28508186340332
201801052200,-33.765,-40.954,20.900,291.004180908203,290.91107855902777777777,289.046722412109,288.97391764322900000000,2.29416275024414
201801052200,-34.286,-36.622,20.900,290.166259765625,289.94681803385433333333,288.451110839844,288.22609795464422222222,2.30232715606689
201801052300,-27.394,-24.727,25.100,289.388214111328,289.43476019965255555555,285.830444335938,285.81720648871577777777,2.19416546821594
